text,label
"@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! :D",positive
"@AxeRade haw phela if am not looking like Mom obviously am looking like him :)",positive
"@zaynmalik prince charming on stage :) x https://t.co/OnVFhzt5fZ",positive
"i have really good luck :)",positive
"Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/XzsOGaC4zK.",positive
"#FollowFriday @straz_das @DCarsonCPA @GH813600 for being top engaged members in my community this week :)",positive
"@twentyonepilots @fujirock_jp tylers hipster glasses :D",positive
"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)",positive
"@UKBusinessLunch Hi we will be joining you again today :)",positive
"@LAfitnessUKhelp done thanks :-)",positive
"Its already afternoon, lets read Al Kahfi before the day finish :)",positive
"OhmyG! yaya dub @mainedcm im done doing to stalk your ig accnt.. GONDOOO MOO TOLOGOOO :) HAHA",positive
"@rozbabes Here's your invite to become a Scope influencer :) Details here: http://t.co/ipJ2yOiGet",positive
"#FollowFriday @NGourd @Locita @D_Robert_Kelly for being top influencers in my community this week :)",positive
"@kevinthewhippet @Cassie_Spaniel @Bracken_Nelson @BellisimoBella1 @SpanielHarry thanks :) zzz xx",positive
"Physiotherapy Friday is my hashtag for today. Custom! :-)",positive
"@Cjlopez21 you know I will 💪 Monica and I miss you to, yeah sounds good to me :)",positive
""Good morning, beautiful :)" That's all it takes.",positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw <3 
Love you <3 x43",positive
"@MandaScapinello oh yeah?? I am definitely going to try it tonight then! :) we took your advice too! We are in Treviso now!",positive
"@morallosanthony  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)",positive
"@NIKKIERIOZZI Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :)",positive
"Fine, 
...Have a gorgeous Friday, friend!!..; xo..-:)) https://t.co/JmpkZP2DaI",positive
"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",positive
"@HostMyOffice @NigelPWhittaker @lemezma @TWBC_Business @_TheBunkerJL Right back atchya!  Have a great day everyone :)",positive
"@TeamTall17 @FlashHayer  but doesn't even follow back :-)",positive
"The future is almost here then :) https://t.co/rolE3ZCL97",positive
"#FollowFriday @Michelploria @MyFrenchCity @jasoncreation for being top new followers in my community this week :)",positive
"No chance :)",positive
"@ChiAB2486 @MrCliveC @PCDKirkwood @DC_ARVSgt @COPS_President @EmWilliamsCCCU @LauraRGallagher @Hall11Kate @LaMinx541 @JohnTarbet71 cheers :)",positive
"@thatguycalledP go po for ice cream :))",positive
"@19strawberry66 I agree 100% :)",positive
"@SpazzyTsukihara hehehehe thats the point :p",positive
"@KalinWhite next time just stay home :)",positive
"@Gculloty87 thanks :)",positive
"#FollowFriday @digitalplace2be @intlboost @_lafontpresse for being top supports in my community this week :)",positive
"@stayfaboo it will be up soon, i promise :)",positive
"Web Whatsapp volta a funcionar com iPhone jailbroken. :-)",positive
"@crustyolddeen (I plan on watching it later) at 34 mins Leia appears as a hologram from R2D2 w a message for Obi Wan as he sits w Luke :)",positive
"@Mburu__ Inter 3 UCL, Arsenal... Small team, Right! :)",positive
"Just passing by :) 🚂 (@ Dewsbury Railway Station (DEW) - @nationalrailenq in Dewsbury, West Yorkshire) https://t.co/DvBssHbrfx",positive
"@ClearlyArticle :) its 430 am smh",positive
"@uptommosass it's 9:25 am here :) I live in Scotland :) it's strange to imagine what?- Megan xx",positive
"@bookmyshow 

 !
#MasaanToday
#MasaanToday

A4.... Shweta Tripathi  
 !
#MasaanToday
#MasaanToday

-.:-) .-..,",positive
"@WforWoman 5. Over 20 W kurtas! And my Mom has about half the number I have :D #WSaleLove",positive
"Ah! Hello back Larry! @TransworldBooks :) https://t.co/8XhjJb4jtH",positive
"Anyway my Friday is looking kinda gooood :)",positive
"@jhun_hunyo  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)",positive
"Lol. Well. That's life :) thank God it enn you  https://t.co/GLoCEIjGQQ",positive
"@OJBJ @holmesjsamuel surely this could be your warmup this morning ??? Coming on 15th to Bath :) xx",positive
"Dum Dum Andar - Ram Sampath, Sona Mohapatra &amp; Samantha Edwards Mein Tulane to razi razi, Wah! That's Josh :) http://t.co/ul8MARDfhm",positive
"@justinbieber :) always smile",positive
"@darlakim_ picture. :)",positive
"@arsenalnewsasit Thanks again, your time 16.20 right? That's perfect timing for me here :).",positive
"#FollowFriday @IzywayLesExpats @na4innov @InXpressCoAzur for being top engaged members in my community this week :)",positive
"@Juleeyaanaa i know :))",positive
"#GiveItUp We have already given up our gas subsidy long back when this initiative was proposed.. Feeling so delighted having done that!! :)",positive
"@dayloladay I missed this yesterday!! :-)",positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw <3 
Love you <3 x42",positive
"@jaimeemelanie_ lmaoo! The best songs ever <3 We shall have our own little throwback this week (y) :p",positive
"@Clazziebritchas then go to the outlying islands, such as Cheung Chau, Mui Wo....totally different :))",positive
"#KFCkitchentours Kitchen is so clean. I'm totally amazed :) @KFC_India",positive
"@cybelxxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)",positive
"@Jana7380 on the cusp of testing the waters, hope yours is rewarding :)",positive
"#FollowFriday @BroadcastBeat @InSunWeTrust @conseilsmkg for being top influencers in my community this week :)",positive
"arummzz: Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",positive
"Anyone wanna skype me? :D",positive
"@agylyxa may i look so, bit i am a real nice friendly girl :-)",positive
"Im not like them. But i can pretend~ :)",positive
"watching where we are concert film :)",positive
"Congratulations @amisharanka95, you're the winner to our #CheesyDelights contest :)
Please DM us your address and contact number!",positive
":) Have a great weekend guys! https://t.co/DLDKLpeTAb",positive
"#FollowFriday @CLARAROJASG @BF_P2C @MyBusiness_Plan for being top new followers in my community this week :)",positive
"@PuaMagasiva it was cool seeing you film today! :)",positive
"Check out Email Marketing 24/7:  http://t.co/O5fjR7oEqk you won't regret if you buy it :)",positive
"@vineshpomal LOL. Come join us ... See u in around 14 hours if u leave now, without delays. :)",positive
"Actually very easy doing like this, it must be a station I guess where the train 'wd take at least an hour for shifting its engine etc :-)",positive
"sunburn is peeling :-)",positive
"@Sexdate_gratis Visit my blog http://t.co/UzOAqroWKx thanks :D",positive
"@TikoSD Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :)",positive
"@no1_razorstan then talk to me. I can help you :)",positive
""@CassTheTrainer: A Huge &amp; Warm Welcome to @VodkaBlond :-))"

☆ finally we complete the triangle ! ☆",positive
"@LucienneDiver I live in Northern Ireland. :) what sights have you seen?",positive
"@Mecastor01Mica  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)",positive
"#FollowFriday @Z_Intl_Agency @Tivipro @compexly for being top supports in my community this week :)",positive
"Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/6prugvmOuC.",positive
"@imraina feeling smthng smthng fr u...lol...wanna hug u....XOXO...love uu jaann take care :* :)) <3 :)",positive
"thanks mom :)",positive
"Thanks #TopNewFollowers @BestOfFicPad @MrCFluegel @JeanMarcPN Happy to connect :)",positive
"@MooseAllain @MeatBingo that is the just most wonderful thing, it's made me feel all fluffy inside. Great pirouette, Moose :D",positive
"@KristophCajon I have a trip to philly in December so after that :) I'd love to come out there dude.",positive
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw <3 
Love you <3 x41",positive
"The question is flawed. Pain doesn't negate strength :)  https://t.co/77TbkS2Djw",positive
"@ReflectKnives You went solo because these moves weren't being made :D",positive
"hey my fav nirvana song is smells like teen spirit rip amy winehouse :-)))))",positive
"#FollowFriday @CCIdeLYON @CCI_95 @CPNERI_ESIGROUP for being top engaged members in my community this week :)",positive
"Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",positive
"did we name the couple yet?? #TomHiddleston #ElizabethOlsen ?? #yaytheylookgreat :))",positive
"I love you all goodnight. Vid going up when I wake up you all with love this one :)",positive
"This weekend I am gonna shoot the lovely @NarakuBrock again <3! Here a picture I made of her last time :D http://t.co/s3e2dmpt24",positive
"@amedefu Me  too。。。_:(´ω`」 ∠):_",negative
"@Concept_Nathan nathann💕 I never got a chance to take a pic with you :( got a hug tho! Pic next time I see you?😊",negative
"some girl came up to me and was like "you are so beautiful :-(" I want to dieididieieiei she's so cute",negative
"Party goodbye stage :( but this means Hello to Lion Heart and You Think",negative
